Code,Name,Breakfast,Lunch,Dinner,,Type,Risk,
SC,Self-Catering,?,?,?,,No Deposit,High cancellation,no payment while booking
BB,Bed & Breakfast,?,?,?,,Refundable,Medium,payment return if cancelled
HB,Half Board,?,?/?,?,,Non Refund,Low cancellation,no payment if cancelled
FB,Full Board,,,,,,,
,,,,,,,,
,,,,,,,,
Type,Meaning,,,,,,,
Transient,Single/normal,,,,Channel,Meaning,,
Contract,Long-term business,,,,Direct,Straight booking,,
Group,Big group,,,,TA/TO,Agent,,
Transient-Party,Small group,,,,Corporate,Company,,
,,,,,GDS,Big network system,,
,,,,,,,,
,,,,,,,,
Code,Country Name,,,,,,,
PRT,Portugal,,,,,,,
GBR,United Kingdom,,,,,,,
FRA,France,,,,,,,
ESP,Spain,,,,,,,
DEU,Germany,,,,,,,
ITA,Italy,,,,,,,
IRL,Ireland,,,,,,,
BEL,Belgium,,,,,,,
BRA,Brazil,,,,,,,
NLD,Netherlands,,,,,,,
